trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,entry_type,be_triggered,vwap,vwap_aligned,vwap_lot_modifier
1,2025-10-15,LONG,ASIAN_SWEEP_WINDOW,4154.68,4154.68,4179.6,0.1,4179.6,TP,249.2,2.69,2495,2025-10-15 12:45 NPT,2025-10-15 12:50 NPT,4140.73,4160.95,4148.41,BULLISH,MSS_ENTRY,True,4171.05,True,0.75
2,2025-10-16,LONG,ASIAN_SWEEP_WINDOW,4202.76,4202.76,4218.12,0.1,4218.12,TP,153.6,2.74,3599,2025-10-16 12:45 NPT,2025-10-16 12:50 NPT,4199.79,4205.35,4200.16,BULLISH,MSS_ENTRY,True,4222.65,True,0.75
3,2025-10-20,LONG,ASIAN_SWEEP_WINDOW,4224.11,4224.11,4279.55,0.1,4224.11,BE,0.0,0.0,5778,2025-10-20 12:45 NPT,2025-10-20 15:15 NPT,4219.03,4227.28,4220.18,BULLISH,OB_ENTRY,True,4252.08,True,0.75
4,2025-10-21,LONG,NY_AM_SILVER_BULLET,4339.52,4339.52,4381.53,0.1,4339.52,BE,0.0,0.0,7247,2025-10-21 19:45 NPT,2025-10-21 19:50 NPT,4333.07,4343.96,4335.08,BULLISH,MSS_ENTRY,True,4263.66,False,0.75
5,2025-11-11,LONG,ASIAN_SWEEP_WINDOW,4139.03,4139.03,4153.91,0.1,4139.03,BE,0.0,0.0,23374,2025-11-11 12:45 NPT,2025-11-11 13:15 NPT,4115.06,4140.99,4137.07,H1:BULLISH,MSS_ENTRY,True,4133.63,False,0.75
6,2025-12-02,LONG,NY_AM_SILVER_BULLET,4201.08,4201.08,4242.84,0.1,4201.08,BE,0.0,0.0,40121,2025-12-02 19:45 NPT,2025-12-02 23:00 NPT,4191.11,4203.3,4198.86,BULLISH,FVG_ENTRY,True,4190.92,False,0.75
7,2025-12-03,LONG,ASIAN_SWEEP_WINDOW,4207.42,4207.42,4236.03,0.1,4207.42,BE,0.0,0.0,40920,2025-12-03 12:45 NPT,2025-12-03 13:25 NPT,4202.84,4211.07,4203.77,BULLISH,MSS_ENTRY,True,4217.36,True,0.75
8,2025-12-03,LONG,NY_PM_SILVER_BULLET,4216.72,4216.72,4236.03,0.1,4216.72,BE,0.0,0.0,41446,2025-12-03 23:45 NPT,2025-12-04 00:35 NPT,4202.84,4221.03,4212.41,BULLISH,MSS_ENTRY,True,4214.61,False,1.0
9,2025-12-04,LONG,NY_PM_SILVER_BULLET,4191.26,4191.26,4230.66,0.1,4207.42,EOD,161.6,3.28,42512,2025-12-04 23:45 NPT,2025-12-05 03:45 NPT,4187.2,4193.18,4189.33,BULLISH,MSS_ENTRY,True,4199.06,True,1.0
10,2025-12-23,LONG,NY_PM_SILVER_BULLET,4468.46,4468.46,4484.78,0.1,4484.78,TP,163.2,3.0,56723,2025-12-24 00:35 NPT,2025-12-24 02:40 NPT,4449.51,4470.9,4466.02,BULLISH,MSS_ENTRY,True,4468.38,False,1.0
11,2025-12-24,LONG,NY_PM_SILVER_BULLET,4473.63,4473.63,4499.94,0.1,4499.94,TP,263.1,5.01,57775,2025-12-25 00:25 NPT,2025-12-26 06:45 NPT,4468.29,4475.88,4471.38,BULLISH,MSS_ENTRY,True,4478.24,True,1.0
12,2025-12-26,LONG,ASIAN_SWEEP_WINDOW,4513.44,4513.44,4525.94,0.1,4513.44,BE,0.0,0.0,58146,2025-12-26 12:45 NPT,2025-12-26 12:55 NPT,4482.43,4517.11,4509.78,BULLISH,MSS_ENTRY,True,4507.44,False,1.0
13,2026-01-15,LONG,ASIAN_SWEEP_WINDOW,4592.9,4585.46,4642.91,0.1,4585.46,SL,-74.4,1.0,72413,2026-01-15 12:45 NPT,2026-01-15 13:00 NPT,4586.1,4597.34,4588.46,H1:BULLISH,MSS_ENTRY,False,4602.77,True,0.75
14,2026-01-22,LONG,ASIAN_SWEEP_WINDOW,4778.41,4778.41,4828.01,0.1,4828.01,TP,496.0,8.0,77791,2026-01-22 12:45 NPT,2026-01-22 14:10 NPT,4772.34,4781.27,4775.21,BULLISH,OB_ENTRY,True,4792.4,True,0.75
15,2026-01-23,LONG,ASIAN_SWEEP_WINDOW,4944.12,4944.12,4977.99,0.1,4944.12,BE,0.0,0.0,78879,2026-01-23 12:45 NPT,2026-01-23 15:30 NPT,4930.64,4952.41,4935.83,BULLISH,MSS_ENTRY,True,4951.16,True,0.75
16,2026-01-27,LONG,ASIAN_SWEEP_WINDOW,5020.09,5020.09,5111.03,0.1,5111.03,TP,909.4,8.0,80940,2026-01-27 12:45 NPT,2026-01-28 03:45 NPT,5010.27,5028.46,5011.72,BULLISH,FVG_ENTRY,True,5058.51,True,0.75
17,2026-01-29,LONG,NY_PM_SILVER_BULLET,5187.41,5187.41,5399.33,0.1,5292.99,EOD,1055.8,3.99,83808,2026-01-29 23:45 NPT,2026-01-30 03:45 NPT,5157.31,5210.9,5163.92,BULLISH,MSS_ENTRY,True,5473.32,True,0.75
18,2026-01-30,LONG,NY_AM_SILVER_BULLET,5131.2,5115.02,5260.68,0.1,5115.02,SL,-161.8,1.0,84763,2026-01-30 19:45 NPT,2026-01-30 20:10 NPT,5112.34,5144.39,5118.02,BULLISH,MSS_ENTRY,False,5089.12,False,1.0
19,2026-02-04,LONG,ASIAN_SWEEP_WINDOW,4946.78,4946.78,4993.77,0.1,4993.77,TP,469.9,3.92,87743,2026-02-04 12:45 NPT,2026-02-04 12:50 NPT,4910.22,4955.79,4937.78,BULLISH,MSS_ENTRY,True,5019.01,True,0.75
20,2026-02-27,LONG,ASIAN_SWEEP_WINDOW,5178.62,5178.62,5205.65,0.1,5178.62,BE,0.0,0.0,106153,2026-02-27 12:45 NPT,2026-02-27 15:00 NPT,5173.06,5182.55,5174.68,BULLISH,MSS_ENTRY,True,5185.44,True,0.75
21,2026-02-27,LONG,NY_AM_SILVER_BULLET,5184.14,5184.14,5205.65,0.1,5205.65,TP,215.1,4.64,106503,2026-02-27 19:45 NPT,2026-02-27 20:50 NPT,5173.06,5185.78,5182.5,BULLISH,MSS_ENTRY,True,5176.58,False,0.75
22,2026-04-01,LONG,ASIAN_SWEEP_WINDOW,4666.45,4666.45,4685.67,0.1,4685.67,TP,192.2,2.52,131325,2026-04-01 12:45 NPT,2026-04-01 14:00 NPT,4661.63,4670.46,4661.83,BULLISH,OB_ENTRY,True,4691.82,True,0.75
23,2026-04-02,LONG,NY_PM_SILVER_BULLET,4667.3,4655.93,4758.3,0.1,4655.93,SL,-113.7,1.0,132914,2026-04-02 23:45 NPT,2026-04-03 00:35 NPT,4650.05,4675.68,4658.93,BULLISH,MSS_ENTRY,False,4628.02,False,0.75
24,2026-04-07,LONG,NY_PM_SILVER_BULLET,4632.38,4632.38,4706.61,0.1,4665.32,EOD,329.4,3.01,134988,2026-04-07 23:45 NPT,2026-04-08 03:45 NPT,4616.23,4640.35,4624.42,BULLISH,FVG_ENTRY,True,4654.51,True,1.0
25,2026-04-09,LONG,ASIAN_SWEEP_WINDOW,4707.0,4707.0,4772.44,0.1,4772.44,TP,654.4,8.0,136504,2026-04-09 12:45 NPT,2026-04-09 22:25 NPT,4699.67,4712.18,4701.82,BULLISH,MSS_ENTRY,True,4715.25,True,1.0
26,2026-04-10,LONG,NY_AM_SILVER_BULLET,4752.72,4752.72,4801.22,0.1,4752.72,BE,0.0,0.0,137951,2026-04-10 19:45 NPT,2026-04-11 00:50 NPT,4737.84,4760.84,4744.6,BULLISH,MSS_ENTRY,True,4751.82,False,1.0
